Location Name: Corporation Water,,
Date,Time,Totalizer
01-06-2025,06:00:00,530397.9
01-06-2025,06:05:00,530398.17
01-06-2025,06:10:00,530399.07
01-06-2025,06:15:00,530399.46
01-06-2025,06:20:00,530399.77
01-06-2025,06:25:00,530400.33
01-06-2025,06:30:00,530401.46
01-06-2025,06:35:00,530402.03
01-06-2025,06:40:00,530402.43
01-06-2025,06:45:00,530402.73
01-06-2025,06:50:00,530403.42
01-06-2025,06:55:00,530404.04
01-06-2025,07:00:00,530404.79
01-06-2025,07:05:00,530405.21
01-06-2025,07:10:00,530406.05
01-06-2025,07:15:00,530406.3
01-06-2025,07:20:00,530407.44
01-06-2025,07:25:00,530408.02
01-06-2025,07:30:00,530408.77
01-06-2025,07:35:00,530409.03
01-06-2025,07:40:00,530410.09
01-06-2025,07:45:00,530410.31
01-06-2025,07:50:00,530411.36
01-06-2025,07:55:00,530411.81
01-06-2025,08:00:00,530412.4
01-06-2025,08:05:00,530412.93
01-06-2025,08:10:00,530414.07
01-06-2025,08:15:00,530414.41
01-06-2025,08:20:00,530415.16
01-06-2025,08:25:00,530415.82
01-06-2025,08:30:00,530416.39
01-06-2025,08:35:00,530417.01
01-06-2025,08:40:00,530418.09
01-06-2025,08:45:00,530419.03
01-06-2025,08:50:00,530419.82
01-06-2025,08:55:00,530420.82
01-06-2025,09:00:00,530421.79
01-06-2025,09:05:00,530422.58
01-06-2025,09:10:00,530423.19
01-06-2025,09:15:00,530423.65
01-06-2025,09:20:00,530425.07
01-06-2025,09:25:00,530425.96
01-06-2025,09:30:00,530426.92
01-06-2025,09:35:00,530428.15
01-06-2025,09:40:00,530429.06
01-06-2025,09:45:00,530430.25
01-06-2025,09:50:00,530431.31
01-06-2025,09:55:00,530432.4
01-06-2025,10:00:00,530433.34
01-06-2025,10:05:00,530434.74
01-06-2025,10:10:00,530435.79
01-06-2025,10:15:00,530437.04
01-06-2025,10:20:00,530437.56
01-06-2025,10:25:00,530438.98
01-06-2025,10:30:00,530440.02
01-06-2025,10:35:00,530440.63
01-06-2025,10:40:00,530441.7
01-06-2025,10:45:00,530442.88
01-06-2025,10:50:00,530443.5
01-06-2025,10:55:00,530444.52
01-06-2025,11:00:00,530445.01
01-06-2025,11:05:00,530445.63
01-06-2025,11:10:00,530446.98
01-06-2025,11:15:00,530448.39
01-06-2025,11:20:00,530449.39
01-06-2025,11:25:00,530450.25
01-06-2025,11:30:00,530451.03
01-06-2025,11:35:00,530451.8
01-06-2025,11:40:00,530452.47
01-06-2025,11:45:00,530453.27
01-06-2025,11:50:00,530454.63
01-06-2025,11:55:00,530455.93
01-06-2025,12:00:00,530456.5
01-06-2025,12:05:00,530457.38
01-06-2025,12:10:00,530458.22
01-06-2025,12:15:00,530459.52
01-06-2025,12:20:00,530460.79
01-06-2025,12:25:00,530461.56
01-06-2025,12:30:00,530463
01-06-2025,12:35:00,530463.64
01-06-2025,12:40:00,530464.6
01-06-2025,12:45:00,530465.49
01-06-2025,12:50:00,530466.32
01-06-2025,12:55:00,530467.02
01-06-2025,13:00:00,530467.75
01-06-2025,13:05:00,530469.08
01-06-2025,13:10:00,530469.81
01-06-2025,13:15:00,530470.32
01-06-2025,13:20:00,530470.83
01-06-2025,13:25:00,530472.27
01-06-2025,13:30:00,530473.36
01-06-2025,13:35:00,530474.48
01-06-2025,13:40:00,530475.8
01-06-2025,13:45:00,530476.69
01-06-2025,13:50:00,530477.99
01-06-2025,13:55:00,530478.73
01-06-2025,14:00:00,530479.41
